id,title,categories,article_lenght,views,refs_count,link_count,death,end_date,location,end_date_clean
50429564,2016 Samawa bombing,civilian attack,2488,9998,2,26,33+ (+2),1 May 2016,Samawah (Q750679),2016
39900222,Harok family murder,civilian attack,35907,53091,49,52,4,22 May 2013,"Zatloukalova 404/49a, [[Brno]]-Ivanovice, [[Czech Republic]]",2013
46935886,1993 Aurora shooting,"civilian attack, criminal ",10075,271842,11,52,4,"December 14, 1993","12293 East Iliff Avenue,<br/>[[Aurora, Colorado]], U.S.",1993
38247068,In Amenas hostage crisis,civilian attack,55589,99062,106,128,"At least 67 (at least 37 foreign hostages, an Algerian security guard and 29 terrorists)",None,"West of [[In Amenas]], Algeria",
19896366,2008 Imphal bombing,civilian attack,19719,5617,20,38,17,21 October 2008,Imphal (Q208097),2008
2234230,Savoy Hotel attack,civilian attack,10713,11059,9,45,"8 civilian hostages, 3 Israeli soldiers, 7 [[Fatah]] attackers",+1975-03-05T00:00:00Z,Tel Aviv (Q33935),1975
4538300,Le Paradis massacre,civilian attack,28438,218488,32,76,97,27 May 1940,"Le Paradis village, commune of [[Lestrem]], Northern France",1940
12983993,1984 Montreal bombing,civilian attack,21695,550,24,100,3,"September 3, 1984","[[Montreal]], [[Quebec]], [[Canada]]",1984
10032978,2007 Casablanca bombings,"terrorist attack, civilian attack",4930,11130,6,33,1 (one perpetrator),"March 11, 2007",Casablanca (Q7903),2007
41583832,Slamat disaster,civilian attack,25666,4466,13,128,983,{{start date and age|1941|04|27}},,1941
52461344,Skelani massacre,civilian attack,3392,2568,6,17,69,16 January 1993,"[[Skelani]], [[Bosnia and Herzegovina]]",1993
14121621,Jokela school shooting,civilian attack,41354,218268,57,133,+9,{{Start date|df|=|yes|2007|11|7}},Jokela High School (Q4347600),2007
40565322,2013 Annaberg shooting,civilian attack,8161,6715,7,29,5 (including the perpetrator),16–17 September 2013,"Annaberg, Lower Austria (Q564141)",2013
32339772,2011 Grand Rapids mass murder,civilian attack,20364,40538,32,52,8 (including the perpetrator),None,Grand Rapids (Q184587),
54874862,August 2017 Quetta suicide bombing,civilian attack,13631,24060,26,88,15 (+1 bomber),12 August 2017,"[[Quetta]], [[Balochistan, Pakistan|Balochistan]], [[Pakistan]]",2017
52299027,Budy Ossowskie massacre,civilian attack,4914,1851,3,34,290,29 August 1943,"Budy Ossowskie, [[Volhynian Voivodeship (1921–1939)|Volhynian Voivodeship]], [[occupied Poland]]",1943
214659,Unit 731,civilian attack,58902,5427192,78,249,"Over 3,000 from inside experiments and tens of thousands from field experiments",1935–1945,"[[Pingfang]], [[Harbin]], [[Heilongjiang|Heilungkiang]], [[Republic of China (1912–1949)|China]]",1945
48026864,Russian military intervention in the Syrian Civil War,military conflict,216495,1670544,505,603,112 servicemen killed <small>(officially per [[Ministry of Defence (Russia)|Russia′s MoD]])</small> <br>8 planes and 7 helicopters [[List of aviation shootdowns and accidents during the Syrian Civil War|lost]] <br>2 [[BTR-80|BTRs]] destroyed For Russian [[Private military company|PMCs]] killed [[Russian Armed Forces casualties in Syria#Private military contractors|see here]],"30 September 2015 – present<br />( {{Age in years, months, weeks and days|month1|=|09|day1|=|30|year1|=|2015}} )","[Al-Raqqah Governorate (Q235563), Hama Governorate (Q232355), Deir ez-Zor Governorate (Q232387), Al-Hasakah Governorate (Q233914), Homs Governorate (Q214094), Idlib Governorate (Q233218), Latakia Governorate (Q233236), Quneitra Governorate (Q219690)]",2015
16163757,Battle of Messene,military conflict,22966,5263,39,69,Unknown,"Spring, 397 BC",Messina (Q13666),397
41528192,Battle of Bayan,military conflict,11923,7550,1,39,11 killed<br>42 wounded {{rp|38}},+1902-05-03T00:00:00Z,"Near [[Malabang, Lanao del Sur|Malabang]], South of [[Lanao Lake]], [[Philippines]]",1902
35990004,Battle of the Nervasos Mountains,military conflict,9925,10596,5,115,,419,León Province (Q71140),419
28803755,Capture of Montserrat,military conflict,3360,13422,1,28,"Unknown, minimum",22 February 1782,Montserrat (Q13353),1782
40740968,Battle of Mstislavl,military conflict,2913,3116,3,22,"About 7,000",4 November 1501,"Near [[Mstislavl]], [[Mogilev Region]]",1501
374424,Dorr Rebellion,military conflict,19326,117269,18,59,,1841–1842,Rhode Island (Q1387),1842
20683060,Attack on Prekaz,military conflict,16115,57890,18,36,"2 policemen killed, seven wounded",+1998-03-07T00:00:00Z,"Prekaz, [[Kosovo]], [[Federal Republic of Yugoslavia]]
*Jashari and accomplices eliminated",1998
1770806,Battle of Maguaga,military conflict,10562,15416,4,39,"6 killed,<br>21 wounded,<br>2 captured",9 August 1812,"[[Monguagon Township, Michigan|Monguagon, Michigan]]",1812
17970217,Battle of Liaoluo Bay,military conflict,13489,58390,1,57,"3 ships damaged<br>80 [[Killed in action|KIA]], 150 [[Wounded in action|WIA]]",+1633-10-22T00:00:00Z,"Liaoluo Bay, [[Kinmen]] ([[Taiwan Strait]])<br> {{coord|24.44|118.33|display|=|inline,title}}",1633
450921,Arab Revolt,military conflict,50313,740579,76,235,Unknown,+1918-10-00T00:00:00Z,"[Syria (Q858), Saudi Arabia (Q851), Lebanon (Q822), Jordan (Q810)]",1918
32217196,Battle of Ocotal,military conflict,6460,7286,5,45,,None,,
305153,Battle of Aachen,military conflict,42579,277043,152,115,"5,000+ casualties <br>2,000 killed",+1944-10-21T00:00:00Z,Aachen (Q1017),1944
871012,Bar Kokhba revolt,military conflict,69706,488773,85,289,[[Legio XXII Deiotariana]] destroyed<sup>a</sup><br />[[Legio IX Hispana]] possibly destroyed <br />[[Legio X Fretensis]] sustained heavy casualties,"132–136 CE<br />(Fall of Betar, traditionally [[Tisha B'Av]] of 135)",Judea (Q1003997),135
50792005,Battle of Hiltersried,military conflict,2828,3255,1,22,140 killed,21 September 1433,"Hiltersried, [[Schönthal]], [[Bavaria]]",1433
1263763,Battle of Krtsanisi,military conflict,28310,64378,20,160,"4,000 troops killed. Unknown number of wounded or captured <br>15,000 {{sfn|Fisher|Avery|Hambly|Melville|1991|p|=|128}} captives (civilians) moved to mainland Persia",+1795-09-11T00:00:00Z,"[[Krtsanisi]], [[Tbilisi]]",1795
47602196,Siege of Enniskillen (1594),military conflict,6809,4098,8,27,Entire garrison is killed,June 1594 - May 1595,Enniskillen (Q990109),1595
157668,Battle of Malplaquet,military conflict,12296,116385,9,58,"'''24,263'''<br>6,500 killed<br>14,000 wounded<br>4,000 missing or captured",11 September 1709,Taisnières-sur-Hon (Q1100414),1709
40979964,Convoy TS 37,military conflict,12255,2267,13,62,,+1943-05-01T00:00:00Z,Atlantic Ocean (Q97),1943
