,n_conflict,id,title,categories,article_lenght,views,refs_count,link_count,death,locations,end_date_clean,ongoing
608,608,29579740,2010 student protest in Dublin,civil conflict,18501,8757,26,85,,Dublin|Ireland,2010.0,False
609,609,29715626,Bombardment of Yeonpyeong,military conflict,74974,330683,127,258,'''South Korean claim:'''<br>5–10 killed and 30 wounded <br>'''North Korean claim:'''<br>At least 5 killed |caus2| 2 soldiers killed<br>19 soldiers wounded<br>2 civilians killed<br>3 civilians wounded<br>Two [[K-9 Thunder|K-9s]] damaged,Yeonpyeong  Q273890,2010.0,False
610,610,29775334,2010 Rio de Janeiro security crisis,military conflict,13095,12508,10,85,2 civilians killed during the violence,Rio  de  Janeiro  Q8678,2010.0,False
611,611,29775561,Korangal Valley campaign,military conflict,6749,30018,7,30,'''US casualties'''<br>54 killed and several hundred wounded<br>'''ANA casualties'''<br>Larger number of soldiers killed than US forces |caus2| Unknown,Korangal  Valley  Q6431405,2010.0,False
612,612,29790491,Operation Bulldog Bite,military conflict,5616,12600,9,20,"'''U.S. casualties'''<br>7 killed, 30+ wounded<br>'''ANA casualties'''<br>3 killed |caus2| 52-150 killed",Kunar  Q188147,2010.0,False
613,613,29877074,Pankisi Gorge crisis,military conflict,6449,23112,7,41,,Pankisi  Gorge  Q627095,2011.0,False
614,614,29938803,Operation Baawar,military conflict,8636,10089,11,29,,Kandahar  Q45604,2010.0,False
615,615,29946418,First and Second Battles of Kakarak,military conflict,16496,4694,13,45,1 killed |caus2| Heavy,Kakarak|Orūzgān  Province|Afghanistan,2009.0,False
616,616,30112358,Operation Blow to the Head,military conflict,4422,13703,4,34,unknown |caus2| 24 killed<br>25 captured,Sa dah  Q991395,2010.0,False
617,617,30113198,Battle of Kismayo (2009),military conflict,1698,3709,1,18,,Kismayo  Q270787,2009.0,False
618,618,30132285,Operation Dragon Strike,military conflict,9683,26099,17,33,'''U.S. casualties'''<br>34 killed <br>'''Canadian casualties'''<br>1 killed<br>'''Afghan casualties'''<br>7+ policemen killed |caus2| Heavy,Kandahar  Q173808,2010.0,False
619,619,30158583,Operation Sayeed,military conflict,27388,3736,17,98,,Hīt  Q2422345,2005.0,False
