,title,categories,article_lenght,views,refs_count,link_count,death,locations,end_date_clean,ongoing
771,American Revolutionary War,military conflict,238972,8794983,598,924,"'''United States:'''<br />
<small>25,000–70,000 total dead <br />
6,800 killed in battle<br />
17,000 died of disease <br /></small>

'''France:'''<br />
<small>at least 7,000 dead<br />
(2,112 in the United States) <br />19 ships of the line (1,346 guns) lost <br>30 frigates (988 guns) lost </small>

'''Spain:'''<br /><small>5,000 dead <br>(124 in the American south) <br>8 ships of the line (572 guns) lost <br>11 frigates (326 guns) lost '''Netherlands:'''<br />
<small>500 killed </small>
----
'''Total:''' 37,000–82,500+ soldiers dead",Eastern  North  America|Caribbean  Sea|Indian  subcontinent|Africa|the  Atlantic  Ocean|and  the  Indian  Ocean,1783.0,False
863,American Civil War,military conflict,203619,17696187,212,776,"{{plainlist|
*110,000+ killed in action/died of wounds
*230,000+ accident/disease deaths|ref| name=""civilwarhome.com""|Fox, William F. [http://www.civilwarhome.com/foxspref.html Regimental losses in the American Civil War] (1889)|</ref>|ref| name=""Official DOD data""|[https://www.dmdc.osd.mil/dcas/pages/report_principal_wars.xhtml Official DOD data] {{webarchive|url=https://web.archive.org/web/20140228202255/https://www.dmdc.osd.mil/dcas/pages/report_principal_wars.xhtml |date=February 28, 2014 }}|</ref>|
*25,000–30,000 died in Confederate prisons|ref| name=""nps.gov""|ref| name=""civilwarhome.com"" |
*365,000+ total dead|sfn|Chambers|Anderson|1999|p|=|849|
*282,000+ wounded|ref| name=""Official DOD data"" |
*181,193 captured|ref| name=""nps.gov""|Better source|date|=|October 2016|ref|211,411 Union soldiers were captured, and 30,218 died in prison. The ones who died have been excluded to prevent double-counting of casualties.|</ref>}} '''Total: 828,000+ casualties''' *25,000–30,000 died in Confederate prisons *365,000+ total dead {{sfn|Chambers|Anderson|1999|p|=|849}} *282,000+ wounded *181,193 captured {{Better source|date|=|October 2016}}",Southern  United  States  Q49042|Northern  United  States  Q1357541,1865.0,False
3793,Battle of Bosworth Field,military conflict,97380,1107588,34,305,unknown,Ambion  Hill  Q4741491|Battle  of  Bosworth  Field 1485  Q55876564,1485.0,False
4005,Battle of Pharsalus,military conflict,22469,601822,20,99,~230 (according to Caesar),Farsala  Q985596,,False
4049,Battle of Blenheim,military conflict,66889,458284,95,201,"'''12,484'''<br />4,542 killed<br />7,942 wounded",Blindheim  Q514914,1704.0,False
4050,Battle of Ramillies,military conflict,55678,121772,87,191,"1,066 killed<br>2,597 wounded",Ramillies  Q531456,1706.0,False
4160,Battle of Lostwithiel,military conflict,5670,21225,0,44,,Lostwithiel  Q723517,1644.0,False
4283,Battle of Peleliu,military conflict,45153,1016649,28,228,"2,336 killed<br>8,450 wounded",Peleliu  Q497981,1944.0,False
4284,Battle of Stalingrad,military conflict,127960,5955534,137,436,"{{Unbulleted list
|'''647,300–868,374'''
|Flagicon|Nazi Germany|1935| + 300,000 |ref|Walter Scott Dunn, Kursk: Hitler's Gamble, 1943,p.1|</ref>|ref|Stephen Walsh, Stalingrad 1942–1943: The Infernal Cauldron, p. 164|</ref>|ref|Jochen Hellbeck, Stalingrad: The City that Defeated the Third Reich p.12|</ref>| –  400,000+|ref| name=""books.google.com""|{{Cite book|url=https://books.google.com/?id=wjnDCwAAQBAJ&pg=PT39&dq=stalingrad+german+400,000+casualties#v=onepage&q=stalingrad%20german%20400%2C000%20casualties|title=Concrete Hell: Urban Warfare from Stalingrad to Iraq|isbn=9781782003137|last1=Dimarco|first1=Louis A|date=2012-11-20}}|</ref>|
|Flagicon|Kingdom of Italy| 114,000 |sfn|Frieser|2017|p|=|14| – 114,520 |ref| name=stephen|https://books.google.com.vn/books?id=nObOBQAAQBAJ&pg=PT182&dq=stalingrad+german+casualties#v=onepage&q=stalingrad%20german%20casualties ""The combined German losses of 6th Amy and 4th Panzer were over 300,000 men.""|</ref>|
|Flagicon|Kingdom of Romania|  109,000 |sfn|Frieser|2017|p|=|14| – 158,854|ref| name=stephen |
|Flagicon|Kingdom of Hungary (1920–46)| 105,000 |sfn|Frieser|2017|p|=|14| – 143,000|ref| name=stephen |
|[[Hiwi (volunteer)|Hiwi]] 19,300–52,000|ref| name=Portrait |
----
|900 aircraft destroyed
|1,500 tanks destroyed (100 Romanian)
|6,000 guns destroyed
|744 aircraft; 1,666 tanks; 5,762 guns captured}} See [[#Casualties|casualties section]] {{Flagicon|Nazi Germany|1935}} + 300,000 –  400,000+ {{Flagicon|Kingdom of Italy}} 114,000 {{sfn|Frieser|2017|p|=|14}} – 114,520 {{Flagicon|Kingdom of Romania}} 109,000 {{sfn|Frieser|2017|p|=|14}} – 158,854 {{Flagicon|Kingdom of Hungary (1920–46)}} 105,000 {{sfn|Frieser|2017|p|=|14}} – 143,000 ----",Volgograd  Q914,1943.0,False
4356,Battle of Waterloo,military conflict,159734,4975037,19,370,"'''Total''': 41,000
* 24,000 to 26,000 casualties, including 6,000 to 7,000 captured {{sfn|Barbero|2006|p|=|312}} * 15,000 missing {{sfn|Barbero|2005|p|=|420}}",Waterloo  Q179034,1815.0,False
4503,Battle of Poitiers,military conflict,27103,418795,28,192,Minimal,Nouaillé- Maupertuis  Q646530,1356.0,False
4563,Battle of Jutland,military conflict,145602,2022667,195,266,"6,094 killed<br />674 wounded<br />177 captured<br />3 battlecruisers sunk <br />3 armoured cruisers sunk <br />8 destroyers sunk <br />(113,300 [[long ton|tons]] sunk)",North  Sea  Q1693,1916.0,False
4606,Battle of the Nile,military conflict,106864,430591,216,574,218 killed<br>677 wounded,Abu  Qir  Bay  Q1779743,1798.0,False
4615,Battle of Agincourt,military conflict,69839,2184894,26,268,"112–600 killed, unknown wounded {{sfn|Curry|2000|p|=|12}} {{sfn|Barker|2005|p|=|320}}",Azincourt  Q238339,1415.0,False
4794,Baralong incidents,military conflict,18358,53629,26,64,2 steamers damaged,Irish  Sea  Q41735,1915.0,False
4806,Battle of Marathon,military conflict,64121,1539233,125,234,"192 Athenians, <br />11 Plataeans ([[Herodotus]]) <br /> 1,000–3,000 dead (modern estimates)",Marathon  Q212150,490.0,False
4823,Balkan Wars,military conflict,56312,1124826,8,353,,hlist  Adrianople  Vilayet Adrianople Scutari  Vilayet Scutari Kosovo  Vilayet Kosovo Monastir  Vilayet Manastir Salonica  Vilayet Salonica  provinces Aegean  Islands Aegean  Sea,1913.0,False
4849,Battle of Gettysburg,military conflict,110164,4304588,130,517,"'''23,049''' total<div style=""line-height:1.2em;"">(3,155 killed;<br />14,529 wounded;<br />5,365 captured/missing)</div>",Adams  County  Q351865,1863.0,False
4928,Battle of Świecino,military conflict,7307,9828,0,41,"Over 1,000 killed <br> 50 captured",Puck  Q628962,1462.0,False
4975,Battle of Abritus,military conflict,19701,49637,35,103,Unknown,Dobruja  Q182660,251.0,False
